 you have NEW start conditions
 Phases of horizontal layers:
           1           1
           2           3
        min.angle=38.36 j=  1 i= 27 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 27 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 27 dt(yr)= 0.51
        min.angle=38.37 j=  1 i= 27 dt(yr)= 0.51
        min.angle=38.37 j=  1 i= 27 dt(yr)= 0.51
        min.angle=38.37 j=  1 i= 27 dt(yr)= 0.51
        min.angle=38.37 j=  1 i= 27 dt(yr)= 0.51
        min.angle=38.37 j=  1 i= 27 dt(yr)= 0.51
        min.angle=38.37 j=  1 i= 27 dt(yr)= 0.51
        min.angle=38.37 j=  1 i= 27 dt(yr)= 0.51
        min.angle=38.37 j=  1 i= 27 dt(yr)= 0.51
        min.angle=38.37 j=  1 i= 27 dt(yr)= 0.51
        min.angle=38.37 j=  1 i= 27 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 27 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 27 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 27 dt(yr)= 0.51
 Remeshing due to shortening required:    200.02754742962063     
        min.angle=38.35 j=  1 i= 28 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 28 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 28 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 28 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 28 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 28 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 28 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 28 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 28 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 28 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 28 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 28 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 28 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 28 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 28 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 28 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 28 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 28 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 28 dt(yr)= 0.51
 Remeshing due to shortening required:    200.02308915488237     
        min.angle=38.36 j=  1 i= 29 dt(yr)= 0.51
     81209's step. Time[My]=  0.040,  elapsed sec-   681.4
        min.angle=38.36 j=  1 i= 29 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 29 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 29 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 29 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 29 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 29 dt(yr)= 0.51
        min.angle=38.37 j=  1 i= 29 dt(yr)= 0.51
        min.angle=38.37 j=  1 i= 29 dt(yr)= 0.51
        min.angle=38.37 j=  1 i= 29 dt(yr)= 0.51
        min.angle=38.37 j=  1 i= 29 dt(yr)= 0.51
        min.angle=38.37 j=  1 i= 29 dt(yr)= 0.51
        min.angle=38.37 j=  1 i= 29 dt(yr)= 0.51
